wave,file_type,var_name,var_label,var_class
2020,basicvars,identif,group(identif),numeric
2020,basicvars,cluster,Түүврийн нэгжийн дугаар,numeric
2020,basicvars,newaimag,New code of aimag,haven_labelled
2020,basicvars,location,Strata 4 locations,haven_labelled
2020,basicvars,urban,Urban/rural,haven_labelled
2020,basicvars,region,Region,haven_labelled
2020,basicvars,month,Calendar month of the interview,numeric
2020,basicvars,quarter,Calendar quarter of the interview,numeric
2020,basicvars,strata,Strata 3,numeric
2020,basicvars,hhweight,Last weight,numeric
2020,basicvars,hhsize,Household size,numeric
2021,basicvars,identif,group(identif),numeric
2021,basicvars,cluster,Түүврийн нэгжийн дугаар,haven_labelled
2021,basicvars,newaimag,New code of aimag,haven_labelled
2021,basicvars,location,Strata 4 locations,haven_labelled
2021,basicvars,urban,Urban/rural,haven_labelled
2021,basicvars,region,Region,haven_labelled
2021,basicvars,month,Calendar month of the interview,numeric
2021,basicvars,quarter,Calendar quarter of the interview,numeric
2021,basicvars,strata,Strata 3,numeric
2021,basicvars,hhsize,Household size,numeric
2021,basicvars,hhweight,NA,numeric
2022,basicvars,identif,group(identif),numeric
2022,basicvars,cluster,Түүврийн нэгжийн дугаар,haven_labelled
2022,basicvars,newaimag,New code of aimag,haven_labelled
2022,basicvars,location,Strata 4 locations,haven_labelled
2022,basicvars,urban,Urban/rural,haven_labelled
2022,basicvars,region,Region,haven_labelled
2022,basicvars,month,Calendar month of the interview,numeric
2022,basicvars,quarter,Calendar quarter of the interview,numeric
2022,basicvars,strata,Strata 3,numeric
2022,basicvars,hhsize,Household size,numeric
2022,basicvars,aimagsoum,Combinations of aimags and soums,numeric
2022,basicvars,hhweight,NA,numeric
2023,basicvars,identif,group(identif),numeric
2023,basicvars,cluster,Түүврийн нэгжийн дугаар,haven_labelled
2023,basicvars,newaimag,New code of aimag,haven_labelled
2023,basicvars,location,Strata 4 locations,haven_labelled
2023,basicvars,urban,Urban/rural,haven_labelled
2023,basicvars,region,Region,haven_labelled
2023,basicvars,month,Calendar month of the interview,numeric
2023,basicvars,quarter,Calendar quarter of the interview,numeric
2023,basicvars,strata,Strata 3,numeric
2023,basicvars,hhsize,Household size,numeric
2023,basicvars,hhweight,NA,numeric
2023,basicvars,aimagsoum,Combinations of aimags and soums,numeric
2024,basicvars,identif,group(identif),numeric
2024,basicvars,newaimag,New code of aimag,haven_labelled
2024,basicvars,urban,Urban/rural,haven_labelled
2024,basicvars,region,Region,haven_labelled
2024,basicvars,location,Strata 4 locations,haven_labelled
2024,basicvars,strata,Strata 3,numeric
2024,basicvars,aimagsoum,Combinations of aimags and soums,numeric
2024,basicvars,month,Month,numeric
2024,basicvars,quarter,Calendar quarter of the interview,numeric
2024,basicvars,hhsize,Household size,numeric
2024,basicvars,hhweight,Raked weights,numeric
2024,basicvars,panel_household_with_2022,NA,numeric
2024,basicvars,identif22,group(identif),numeric
2024,basicvars,hhweight_panel,Raked weights,numeric
2020,hhold,identif,group(identif),numeric
2020,hhold,hhsize_cover,9. Өрхийн ам бүлийн тоо,numeric
2020,hhold,hh_no,12. Өрхийн дугаар,numeric
2020,hhold,h15,15. Өрхийн түүврийн сонголт,haven_labelled
2020,hhold,q0547,5.47 Сүүлийн 12 сард танай өрхийн гишүүд хувь ,haven_labelled
2020,hhold,q0601,6.01 Сүүлийн 12 сард танайх мал аж ахуй эрхэлс,haven_labelled
2020,hhold,q0607,"6.07 Сүүлийн 12 сард танай өрх ноос, ноолуур, а",haven_labelled
2020,hhold,q0615,6.15 Та болон танай өрхийн гишүүдээс хэн нэг ,haven_labelled
2020,hhold,q0616,6.16 Таны болон танай өрхийн тариалан эрхлэх,numeric
2020,hhold,q0617,"6.17 Танайх сүүлийн 12 сард үр тариа, хүнсний н",haven_labelled
2020,hhold,q0618,6.18 Сүүлийн 12 сард танай өрхийн гишүүдийн та,numeric
2020,hhold,q0701,"7.01 Сүүлийн 12 сард ХАА-н бус үйлдвэрлэл, худа",haven_labelled
2020,hhold,q0702,"7.02 Хэдэн төрлийн үйлдвэрлэл, худалдаа, үйлч",numeric
2020,hhold,q0801,8.01 Та болон танай өрхийн гишүүд хадгаламжт,haven_labelled
2020,hhold,q0802,8.02 Сүүлийн 12 сард хадгаламжиндаа хэдэн төг,numeric
2020,hhold,q0803,8.03 Сүүлийн 12 сарын хугацаанд та болон танай,haven_labelled
2020,hhold,q0804,8.04 Зээл авах шаардлага хангаагүйгээс зээлэ,haven_labelled
2020,hhold,q0805,8.05 Нийт хэдэн тохиолдол гарсан бэ?,numeric
2020,hhold,q0806,8.06 Сүүлийн 12 сард танай өрх болон өрхийн ги,haven_labelled
2020,hhold,q0807,8.07 Танай өрх сүүлийн 12 сард нийт хэдэн зээл,numeric
2020,hhold,q0901,9.01 Танайх өөрийн эзэмшлийн сууцтай юу?,haven_labelled
2020,hhold,q0902,9.02 Танайх өөрийн эзэмшлийн хэдэн сууцтай в,numeric
2020,hhold,q0903,9.03 Одоо амьдарч байгаа сууц тань танай үндс,haven_labelled
2020,hhold,q0904,9.04 ТУХАЙН ӨРХИЙН СУУЦНЫ ТӨРӨЛ.,haven_labelled
2020,hhold,q0905,9.05 Танай сууц хэдэн өрөөтэй вэ?,numeric
2020,hhold,q0906,9.06 Танай өрхийн сууцны ханын гаднах матери,haven_labelled
2020,hhold,q0907,9.07 Танай өрхийн сууцны дээврийн хучилтын м,haven_labelled
2020,hhold,q0908,9.08 Танай өрхийн сууцны шалны материал юу вэ,haven_labelled
2020,hhold,q0909,9.09 Танай сууцны хүн амьдрах талбайн хэмжээ,numeric
2020,hhold,q0910,9.10 Танай сууцны нийт талбайн хэмжээ хэд вэ?,numeric
2020,hhold,q0911,9.11 Танай өрхийн амьдарч байгаа сууцны талб,numeric
2020,hhold,q0912,9.12 Танай гэр хэдэн ханатай вэ?,numeric
2020,hhold,q0913,"9.13 Танай гэрийн дээвэр дан уу, давхар уу?",haven_labelled
2020,hhold,q0914,9.14 Танай гэрийн дээвэр хүйтний улиралд дан,haven_labelled
2020,hhold,q0915,"9.15 Танай гэрийн туурга дан уу, давхар уу?",haven_labelled
2020,hhold,q0916,9.16 Танай гэрийн туурга хүйтний улиралд дан,haven_labelled
2020,hhold,q0917,9.17 Танай гэр ямар шалтай вэ?,haven_labelled
2020,hhold,q0918,9.18 Танай гэр хүйтний улиралд ямар шалтай вэ,haven_labelled
2020,hhold,q0919,9.19 Танай энэ сууц тань ашиглалтад ороод хэд,numeric
2020,hhold,q0920,9.20 Танайх энэ сууцанд хэр удаан амьдарч бай,numeric
2020,hhold,q0921,9.21 Та энэ сууцныхаа өмчийн хэлбэрийг хэлнэ,haven_labelled
2020,hhold,q0922,9.22 Танай өрх яаж сууцтай болсон бэ?,haven_labelled
2020,hhold,q0923,9.23 Сууцтай болохын тулд зээл авсан уу?,haven_labelled
2020,hhold,q0924,9.24 Хэрэв танай өрх энэ сууцыг хэн нэгнээс т,numeric
