var_name,label_mn,label_en,type,waves_present,source_types,source_files,n_obs,n_missing,n_unique,category
q0107,1.07 Эхнэр нөхрийн хувийн дугаар,1.07 Эхнэр нөхрийн хувийн дугаар,numeric,"2020,2021,2022,2023,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv (15).dta | 02_indiv.dta,264974,156849,13,childhood
q0108,1.08 НЭР]-ын/ийн аав хамт амьдардаг уу? Хэрэв амьдардаг бол хэн гэдэг вэ?,1.08 НЭР]-ын/ийн аав хамт амьдардаг уу? Хэрэв амьдардаг бол хэн гэдэг вэ?,numeric,2024,indiv,02_indiv.dta,53898,807,10,childhood
q0109,1.09 [НЭР]-ын/ийн аав хаана амьдардаг вэ?,1.09 [НЭР]-ын/ийн аав хаана амьдардаг вэ?,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2023,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv (15).dta | 02_indiv.dta,264974,807,4,childhood
q0110,1.10 [НЭР]-ын/ийн ээж хамт амьдардаг уу? Хэрэв амьдардаг бол хэн гэдэг вэ?,1.10 [НЭР]-ын/ийн ээж хамт амьдардаг уу? Хэрэв амьдардаг бол хэн гэдэг вэ?,haven_labelled/vctrs_vctr/double | numeric,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,5848,11,childhood
q0113,1.13 Асуултанд хамрагдах эсэх,1.13 Асуултанд хамрагдах эсэх,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,5041,2,childhood
q0118,1.18 [НЭР] хаана төрсөн бэ? Монгол/Гадаад,1.18 [НЭР] хаана birth/born бэ? Монгол/Гадаад,haven_labelled/vctrs_vctr/double,2024,indiv,02_indiv.dta,53898,39795,2,childhood
q0307,3.07 [НЭР] сүүлийн 30 хоногт ер нь (өвдсөн эсвэл  урьдчилан сэргийлэх зорилгоор),3.07 [НЭР] сүүлийн 30 хоногт ер нь (өвдсөн эсвэл  урьдчилан сэргийлэх зорилгоор),haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,7468,2,childhood
q0308,3.08 [НЭР] ӨВДСӨН ХЭДИЙ Ч ЭМНЭЛЭГТ ХАНДААГҮЙ ЭСЭХИЙГ ШАЛГА.,3.08 [НЭР] ӨВДСӨН ХЭДИЙ Ч ЭМНЭЛЭГТ ХАНДААГҮЙ ЭСЭХИЙГ ШАЛГА.,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,26133,2,childhood
q0312a,3.12 АМБУЛАТОРИОР ҮЙЛЧЛҮҮЛСЭН ЗАРДАЛ Сүүлийн 30 хоногт эмнэлгээр үйлчлүүлэхэд хэ,3.12 АМБУЛАТОРИОР ҮЙЛЧЛҮҮЛСЭН ЗАРДАЛ Сүүлийн 30 хоногт эмнэлгээр үйлчлүүлэхэд хэ,numeric,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,216025,356,childhood
q0320,3.20 [НЭР] сүүлийн 12 сард эмнэлэгт хэвтэж эмчлүүлэхэд хэдэн төгрөг бэлэн болон,3.20 [НЭР] сүүлийн 12 сард эмнэлэгт хэвтэж эмчлүүлэхэд хэдэн төгрөг бэлэн болон,numeric,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,209514,398,childhood
q0326_4,"3.26 4. [НЭР]-д хоолоо идэх, хувцсаа өмсөх зэргээр өөрийгөө арчлахад хүндрэлтэй","3.26 4. [НЭР]-д хоолоо идэх, хувцсаа өмсөх зэргээр өөрийгөө арчлахад хүндрэлтэй",haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,173034,6,childhood
q0326_8,3.26 8. [НЭР] дуртай зүйлээ хийхдээ анхаарлаа төвлөрүүлэхэд хүндрэлтэй байдаг уу,3.26 8. [НЭР] дуртай зүйлээ хийхдээ анхаарлаа төвлөрүүлэхэд хүндрэлтэй байдаг уу,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,173034,6,childhood
q0328_4,"3.28 4. [НЭР]-ын/ийн хувьд аливаа зүйлийг санах, анхаарлаа төвлөрүүлэхэд хүндрэл","3.28 4. [НЭР]-ын/ийн хувьд аливаа зүйлийг санах, анхаарлаа төвлөрүүлэхэд хүндрэл",haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,93496,6,childhood
q0328_5,"3.28 5. [НЭР]-ын/ийн хувьд хоолоо идэх, хувцсаа өмсөх, нүүр, гар, биеэ угаах зэр","3.28 5. [НЭР]-ын/ийн хувьд хоолоо идэх, хувцсаа өмсөх, move/migrateр, гар, биеэ угаах зэр",haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv.dta,234690,93496,6,childhood
q0708,7.08 Хэрвээ та сууцаа хүнд түрээслүүлбэл сарын хэдэн төгрөгөөр түрээслүүлэх вэ?,7.08 Хэрвээ та сууцаа хүнд түрээслүүлбэл сарын хэдэн төгрөгөөр түрээслүүлэх вэ?,numeric,2023,hhold,01_hhold (14).dta,8550,213,53,childhood
q0709,7.09 Танай ундны усны эх үүсвэр юу вэ?,7.09 Танай ундны усны эх үүсвэр юу вэ?,haven_labelled/vctrs_vctr/double,2023,hhold,01_hhold (14).dta,8550,0,15,childhood
q0926,9.26 Танай гэрийн халаалтын үндсэн эх үүсвэр юу вэ?,9.26 Танай гэрийн халаалтын үндсэн эх үүсвэр юу вэ?,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold.dta,66167,0,8,childhood
q0928,9.28 Танай сууцны гэрэлтүүлгийн үндсэн эх үүсвэр юу вэ?,9.28 Танай сууцны гэрэлтүүлгийн үндсэн эх үүсвэр юу вэ?,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold.dta,66167,0,8,childhood
q0929,9.29 Танайх ундны усаа ихэвчлэн ямар эх үүсвэрээс авдаг вэ?,9.29 Танайх ундны усаа ихэвчлэн ямар эх үүсвэрээс авдаг вэ?,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold.dta,66167,3435,15,childhood
q0930,9.30 Танай усны эх үүсвэр хаана байдаг вэ?,9.30 Танай усны эх үүсвэр хаана байдаг вэ?,haven_labelled/vctrs_vctr/double | numeric,"2020,2021,2022,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold.dta,66167,5858,89,childhood
q0940,9.40 ГАР УГААХ ГАЗАРТ УС БАЙГАА ЭСЭХИЙГ АЖИГЛАНА.,9.40 ГАР УГААХ ГАЗАРТ УС БАЙГАА ЭСЭХИЙГ АЖИГЛАНА.,haven_labelled/vctrs_vctr/double,"2022,2024",hhold,01_hhold (13).dta | 01_hhold.dta,38508,369,3,childhood
q0941,"9.41 ГАР УГААХ ГАЗАРТ САВАН, УГААЛГЫН БОДИС БАЙГАА ЭСЭХИЙГ АЖИГЛАНА.","9.41 ГАР УГААХ ГАЗАРТ САВАН, УГААЛГЫН БОДИС БАЙГАА ЭСЭХИЙГ АЖИГЛАНА.",haven_labelled/vctrs_vctr/double,"2022,2024",hhold,01_hhold (13).dta | 01_hhold.dta,38508,13633,2,childhood
q1007a,"A Яаралтай тусламж, үйлчилгээ авах боломжтой эсэх","A Яаралтай тусламж, үйлчилгээ авах боломжтой эсэх",numeric,"2020,2021,2022,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold.dta,66167,0,2,childhood
q1007b,Б Амбулаторийн үйлчилгээ авах боломжтой эсэх,Б Амбулаторийн үйлчилгээ авах боломжтой эсэх,numeric,"2020,2021,2022,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold.dta,66167,0,2,childhood
q1007c,В Эмнэлэгт хэвтэн эмчлүүлэх боломжтой эсэх,В Эмнэлэгт хэвтэн эмчлүүлэх боломжтой эсэх,numeric,"2020,2021,2022,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold.dta,66167,0,2,childhood
q1007d,Г Эмчид үзүүлэх боломжтой эсэх,Г Эмчид үзүүлэх боломжтой эсэх,numeric,"2020,2021,2022,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold.dta,66167,0,3,childhood
q1007e,Д Шинжилгээний лаборатори байгаа эсэх,Д Шинжилгээний лаборатори байгаа эсэх,numeric,"2020,2021,2022,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold.dta,66167,0,2,childhood
q1007f,Е Рентген шинжилгээний үйлчилгээ байгаа эсэх,Е Рентген шинжилгээний үйлчилгээ байгаа эсэх,numeric,"2020,2021,2022,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold.dta,66167,0,2,childhood
q1007g,Ё Эрүүл мэндийн урьдчилан сэргийлэх үйлчилгээгээр хангагдах боломжтой эсэх,Ё health мэндийн урьдчилан сэргийлэх үйлчилгээгээр хангагдах боломжтой эсэх,numeric,"2020,2021,2022,2024",hhold,01_hhold (11).dta | 01_hhold (12).dta | 01_hhold (13).dta | 01_hhold.dta,66167,0,2,childhood
q0103,1.03 Хүйс,1.03 sex,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2023,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv (15).dta | 02_indiv.dta,264974,0,2,demographics
q0105m,1.05 Нас /сар/,1.05 age /сар/,numeric,"2020,2021,2022,2023,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv (15).dta | 02_indiv.dta,264974,260244,11,demographics
q0105y,1.05 Нас /жил/,1.05 age /жил/,numeric,"2020,2021,2022,2023,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv (15).dta | 02_indiv.dta,264974,0,102,demographics
q0106,1.06 Гэрлэлтийн байдал,1.06 maritalийн байдал,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2023,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv (15).dta | 02_indiv.dta,264974,85760,6,demographics
q0201,2.01 15 болон түүнээс дээш настай эсэхийг шалга,2.01 15 болон түүнээс дээш ageтай эсэхийг шалга,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2023,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv (15).dta | 02_indiv.dta,264974,8309,2,demographics
q0207,2.07 5 БА ТҮҮНЭЭС ДЭЭШ НАСТАЙ ЭСЭХИЙГ ШАЛГА.,2.07 5 БА ТҮҮНЭЭС ДЭЭШ ageТАЙ ЭСЭХИЙГ ШАЛГА.,haven_labelled/vctrs_vctr/double,"2020,2021,2022,2023,2024",indiv,02_indiv (12).dta | 02_indiv (13).dta | 02_indiv (14).dta | 02_indiv (15).dta | 02_indiv.dta,264974,27029,88,demographics
